0.009287, 0.009883, 0.011501, 0.012069, 
0.007587, 0.010864, 0.012352, 0.012509, 
0.008071, 0.009114, 0.013371, 0.013250, 
0.009112, 0.009877, 0.011612, 0.014169, 
0.009765, 0.010229, 0.011633, 0.012118, 
0.010702, 0.010936, 0.012073, 0.012366, 
0.009287, 0.009883, 0.010353, 0.011033, 0.011859, 
0.009286, 0.009857, 0.010346, 0.010971, 0.011702, 
0.009360, 0.009856, 0.010334, 0.010889, 0.011506, 
0.009585, 0.009941, 0.010321, 0.010767, 0.011273, 
0.009627, 0.009946, 0.010284, 0.010682, 0.011129, 
0.009700, 0.009937, 0.010207, 0.010530, 0.010917, 
0.009287, 0.009883, 0.010353, 0.011033, 0.011859, 
0.009286, 0.009857, 0.010346, 0.010971, 0.011702, 
0.009360, 0.009856, 0.010334, 0.010889, 0.011506, 
0.009585, 0.009941, 0.010321, 0.010767, 0.011273, 
0.009627, 0.009946, 0.010284, 0.010682, 0.011129, 
0.009700, 0.009937, 0.010207, 0.010530, 0.010917, 
